2024-11-22 17:12:27, 26.40 °C, 74.00 %
2024-11-22 17:12:29, 24.90 °C, 66.80 %
2024-11-22 17:12:31, 24.90 °C, 66.80 %
2024-11-22 17:12:34, 24.90 °C, 66.90 %
2024-11-22 17:12:36, 24.90 °C, 66.90 %
2024-11-22 17:12:38, 24.90 °C, 66.90 %
2024-11-22 17:12:40, 24.90 °C, 66.70 %
2024-11-22 17:12:43, 24.90 °C, 66.60 %
2024-11-22 17:12:45, 24.90 °C, 66.50 %
2024-11-22 17:12:47, 24.90 °C, 66.40 %
2024-11-22 17:12:52, 24.90 °C, 66.30 %
2024-11-22 17:12:54, 24.90 °C, 66.30 %
2024-11-22 17:12:56, 24.90 °C, 66.30 %
2024-11-22 17:12:58, 24.90 °C, 66.30 %
2024-11-22 17:13:01, 24.90 °C, 66.30 %
2024-11-22 17:13:03, 24.90 °C, 66.20 %
2024-11-22 17:13:05, 24.90 °C, 66.10 %
2024-11-22 17:13:07, 24.90 °C, 66.00 %
2024-11-22 17:13:10, 24.90 °C, 65.90 %
2024-11-22 17:13:12, 24.80 °C, 65.80 %
2024-11-22 17:13:14, 24.90 °C, 65.80 %
2024-11-22 17:13:16, 24.80 °C, 65.80 %
2024-11-22 17:13:19, 24.80 °C, 65.80 %
2024-11-22 17:13:21, 24.80 °C, 65.80 %
2024-11-22 17:13:23, 24.90 °C, 65.80 %
2024-11-22 17:13:25, 24.80 °C, 65.90 %
2024-11-22 17:13:28, 24.80 °C, 65.90 %
2024-11-22 17:13:30, 24.80 °C, 65.90 %
2024-11-22 17:13:32, 24.80 °C, 66.00 %
2024-11-22 17:13:34, 24.80 °C, 66.20 %
2024-11-22 17:13:37, 24.80 °C, 66.30 %
2024-11-22 17:13:39, 24.80 °C, 66.40 %
2024-11-22 17:13:41, 24.80 °C, 66.50 %
2024-11-22 17:13:43, 24.80 °C, 66.50 %
2024-11-22 17:13:46, 24.80 °C, 66.60 %
2024-11-22 17:13:48, 24.80 °C, 66.60 %
2024-11-22 17:13:50, 24.80 °C, 66.60 %
2024-11-22 17:13:52, 24.80 °C, 66.60 %
2024-11-22 17:13:55, 24.80 °C, 66.70 %
2024-11-22 17:13:57, 24.80 °C, 66.90 %
2024-11-22 17:13:59, 24.80 °C, 67.10 %
2024-11-22 17:14:01, 24.80 °C, 67.20 %
2024-11-22 17:14:04, 24.80 °C, 67.20 %
2024-11-22 17:14:06, 24.80 °C, 67.30 %
2024-11-22 17:14:08, 24.80 °C, 67.30 %
2024-11-22 17:14:10, 24.90 °C, 67.40 %
